,SBW_STATN_NM,ROAD_NM_ADDR
14,소요산,경기도 동두천시 평화로 2925
15,동두천,경기도 동두천시 평화로 2687
16,보산,경기도 동두천시 평화로 2539
17,동두천중앙,경기도 동두천시 동두천로 228
18,지행,경기도 동두천시 평화로 2285
19,덕정,경기도 양주시 화합로 1356
20,덕계,경기도 양주시 고덕로 139번길 317
21,양주,경기도 양주시 평화로 919
22,녹양,경기도 의정부시 평화로 757
23,가능,경기도 의정부시 평화로 633
24,의정부,경기도 의정부시 평화로 525
25,회룡,경기도 의정부시 평화로 363
26,망월사,경기도 의정부시 평화로 221
59,역곡,경기도 부천시 역곡로 1
60,소사,경기도 부천시 경인로 363
61,부천,경기도 부천시 부천로 1
62,중동,경기도 부천시 중동로 73
63,송내,경기도 부천시 송내대로 43
78,석수,경기도 안양시 만안구 경수대로 1431
79,관악,경기도 안양시 만안구 경수대로 1273번길 46
80,안양,경기도 안양시 만안구 만안로 232
81,명학,경기도 안양시 만안구 만안로 20
82,금정,경기도 군포시 군포로 750
83,군포,경기도 군포시 군포역1길 27
84,의왕,경기도 의왕시 철도박물관로 66
85,성균관대,경기도 수원시 장안구 서부로 2149
86,화서,경기도 수원시 팔달구 덕영대로 692
87,수원,경기도 수원시 팔달구 덕영대로 924
88,세류,경기도 수원시 권선구 정조로 393-1
89,병점,경기도 화성시 떡전골로 97
90,세마,경기도 오산시 세마역로 88
91,오산대,경기도 오산시 청학로 236
92,오산,경기도 오산시 역광장로 59
93,진위,경기도 평택시 경기대로 1855
153,대화,경기도 고양시 일산서구 중앙로 1569
154,주엽,경기도 고양시 일산서구 중앙로 1432
155,정발산,경기도 고양시 일산동구 중앙로 1270
156,마두,경기도 고양시 일산동구 중앙로 1180
157,백석,경기도 고양시 일산동구 중앙로 1042
158,대곡,경기도 고양시 덕양구 대주로 107번길 71-81
159,화정,경기도 고양시 덕양구 화정로 60
160,원당,경기도 고양시 덕양구 고양대로 1429
161,삼송,경기도 고양시 덕양구 삼송로 194
162,지축,경기도 고양시 덕양구 삼송로 300
196,원흥,경기도 고양시 덕양구 권율대로 681
223,선바위,경기도 과천시 중앙로 440
224,경마공원,경기도 과천시 경마공원대로 105
225,대공원,경기도 과천시 대공원대로 50
226,과천,경기도 과천시 별양로 177
227,정부과천청사,경기도 과천시 중앙로 100
228,인덕원,경기도 안양시 동안구 흥안대로 529
229,평촌,경기도 안양시 동안구 부림로 123
230,범계,경기도 안양시 동안구 동안로 130
231,금정,경기도 군포시 군포로 750
232,산본,경기도 군포시 번영로 504
233,수리산,경기도 군포시 번영로 385
234,대야미,경기도 군포시 대야1로 28
235,반월,경기도 안산시 상록구 건건로 119-10
236,상록수,경기도 안산시 상록구 상록수로 61
237,한대앞,경기도 안산시 상록구 충장로 337
238,중앙,경기도 안산시 단원구 중앙대로 918
239,고잔,경기도 안산시 단원구 중앙대로 784
240,초지,경기도 안산시 단원구 중앙대로 620
241,안산,경기도 안산시 단원구 중앙대로 462
242,신길온천,경기도 안산시 단원구 황고개로 2
243,정왕,경기도 시흥시 마유로 418번길 15
244,오이도,경기도 시흥시 역전로 430
334,장암,경기도 의정부시 동일로 121
372,철산,경기도 광명시 철산로 13
373,광명사거리,경기도 광명시 오리로 980
376,까치울,경기도 부천시 길주로 626
377,부천종합운동장,경기도 부천시 길주로 502
378,춘의,경기도 부천시 길주로 406
379,신중동,경기도 부천시 길주로 314
380,부천시청,경기도 부천시 길주로 202
381,상동,경기도 부천시 길주로 104
396,산성,경기도 성남시 수정구 수정로 365
397,남한산성입구,경기도 성남시 수정구 산성대로 445
398,단대오거리,경기도 성남시 수정구 산성대로 365
399,신흥,경기도 성남시 수정구 산성대로 280
400,수진,경기도 성남시 중원구 산성대로 200
401,모란,경기도 성남시 수정구 산성대로 100
440,광명,경기도 광명시 광명역로 21
441,당정,경기도 군포시 당정역로 91
442,서동탄,경기도 오산시 외삼미로 15번길 75-60
443,지평,경기도 양평군 지평면 지평역길 32
444,용문,경기도 양평군 용문면 용문역길 21
445,원덕,경기도 양평군 양평읍 원덕흑천길 138
446,양평,경기도 양평군 양평읍 역전길 30
447,아신,경기도 양평군 옥천면 아신역1길 23
448,국수,경기도 양평군 양서면 국수역길 45
449,신원,경기도 양평군 양서면 신원역길 7
450,양수,경기도 양평군 양서면 목왕로 55-10
451,운길산,경기도 남양주시 조안면 운길산로 20
452,팔당,경기도 남양주시 와부읍 팔당로 107
453,도심,경기도 남양주시 와부읍 덕소로 237
454,덕소,경기도 남양주시 와부읍 덕소로 56
455,양정,경기도 남양주시 경강로 237
456,도농,경기도 남양주시 경춘로 433
457,구리,경기도 구리시 건원대로 34번길 32-29
464,오빈,경기도 양평군 양평읍 덕바위길 58
465,송탄,경기도 평택시 송탄공원로 43
466,서정리,경기도 평택시 탄현로 51
467,지제,경기도 평택시 경기대로 777
468,평택,경기도 평택시 평택로 51
493,가천대,경기도 성남시 수정구 성남대로 1332
494,태평,경기도 성남시 수정구 성남대로 1229
495,모란,경기도 성남시 중원구 성남대로 1147
496,야탑,경기도 성남시 분당구 성남대로 903
497,이매,경기도 성남시 분당구 성남대로 738
498,서현,경기도 성남시 분당구 성남대로 601
499,수내,경기도 성남시 분당구 성남대로 491
500,정자,경기도 성남시 분당구 성남대로 333
501,미금,경기도 성남시 분당구 성남대로 156
502,오리,경기도 성남시 분당구 성남대로 55
503,보정,경기도 용인시 기흥구 용구대로 2560
504,죽전,경기도 용인시 수지구 포은대로 530
505,구성,경기도 용인시 기흥구 용구대로 2403
506,신갈,경기도 용인시 기흥구 기흥로 136
507,기흥,경기도 용인시 기흥구 중부대로 460
508,상갈,경기도 용인시 기흥구 금화로 40
509,청명,경기도 수원시 영통구 봉영로 1670
510,영통,경기도 수원시 영통구 봉영로 1560
511,망포,경기도 수원시 영통구 덕영대로 1520
512,매탄권선,경기도 수원시 영통구 권선로 841
513,수원시청,경기도 수원시 권선구 효원로 270
514,매교,경기도 수원시 팔달구 효원로 126
515,수원,경기도 수원시 팔달구 덕영대로 944
525,화전,경기도 고양시 덕양구 화랑로 53
526,행신,경기도 고양시 덕양구 소원로 114
527,능곡,경기도 고양시 덕양구 토당로 35
528,대곡,경기도 고양시 덕양구 대주로 107번길 71-81
529,곡산,경기도 고양시 일산동구 경의로 160
530,백마,경기도 고양시 일산동구 경의로 318
531,풍산,경기도 고양시 일산동구 경의로 486
532,일산,경기도 고양시 일산서구 경의로 672
533,탄현,경기도 고양시 일산서구 경의로 856
534,운정,경기도 파주시 운정역길 368
535,금릉,경기도 파주시 금릉역로 85
536,금촌,경기도 파주시 새꽃로 193
537,월롱,경기도 파주시 월롱면 통일로 980
538,파주,경기도 파주시 파주읍 주라위길 38
539,문산,경기도 파주시 문산읍 문산역로 94
540,강매,경기도 고양시 덕양구 소원로 202
541,야당,경기도 파주시 소리천로 10
542,기흥,경기도 용인시 기흥구 중부대로 468
543,강남대,경기도 용인시 기흥구 중부대로 578
544,지석,경기도 용인시 기흥구 어정로 28
545,어정,경기도 용인시 기흥구 어정로 128
546,동백,경기도 용인시 기흥구 동백죽전대로 314
547,초당,경기도 용인시 기흥구 동백죽전대로 204
548,삼가,경기도 용인시 처인구 중부대로 1098
549,시청.용인대,경기도 용인시 처인구 중부대로 1199-1
550,명지대,경기도 용인시 처인구 금학로 241
551,김량장,경기도 용인시 처인구 금학로 315
552,운동장.송담대,경기도 용인시 처인구 금학로 409
553,고진,경기도 용인시 처인구 경안천로 141
554,보평,경기도 용인시 처인구 경안천로 313
555,둔전,경기도 용인시 처인구 포곡읍 포곡로 70
556,전대.에버랜드,경기도 용인시 처인구 포곡읍 에버랜드로 143
564,갈매,경기도 구리시 경춘북로 229
565,별내,경기도 남양주시 경춘북로 375
566,퇴계원,경기도 남양주시 퇴계원면 경춘북로 545
567,사릉,경기도 남양주시 진건읍 진건우회로 63
568,금곡,경기도 남양주시 금곡로 19번길 47
569,평내호평,경기도 남양주시 경춘로 1375
570,천마산,경기도 남양주시 화도읍 묵현로 25번길 37
571,마석,경기도 남양주시 화도읍 마석중앙로 107
572,대성리,경기도 가평군 청평면 경춘로 88
573,청평,경기도 가평군 청평면 청평역로 97-33
574,상천,경기도 가평군 청평면 상천역로 29
575,가평,경기도 가평군 가평읍 문화로 13-42
586,판교,경기도 성남시 분당구 판교역로 160
587,정자,경기도 성남시 분당구 성남대로 333
588,미금,경기도 성남시 분당구 성남대로 156
589,동천,경기도 용인시 수지구 신수로 760
590,수지구청,경기도 용인시 수지구 풍덕천로 120
591,성복,경기도 용인시 수지구 수지로 134
615,발곡,경기도 의정부시 장곡로 258
616,회룡,경기도 의정부시 평화로 363
617,범골,경기도 의정부시 신흥로 141
618,경전철의정부,경기도 의정부시 신흥로 237
619,의정부시청,경기도 의정부시 의정로 69
620,흥선,경기도 의정부시 호국로 1197
621,의정부중앙,경기도 의정부시 호국로 1305
622,동오,경기도 의정부시 장곡로 471
623,새말,경기도 의정부시 장곡로 551
624,경기도청북부청사,경기도 의정부시 장곡로 615
625,효자,경기도 의정부시 부용로 159-40
626,곤제,경기도 의정부시 천보로 173
627,어룡,경기도 의정부시 충의로 125
628,송산,경기도 의정부시 충의로 59
629,탑석,경기도 의정부시 충의로 20
630,오이도,경기도 시흥시 역전로 430
631,월곶,경기도 시흥시 월곶중앙로 14번길 56
643,달월,경기도 시흥시 서해안로 736번길 55
672,신현,경기도 시흥시 신현로12번길 2-10
675,달미,경기도 안산시 단원구 순환로 160
676,선부,경기도 안산시 단원구 선부광장로 34
677,초지,경기도 안산시 단원구 중앙대로 635
678,원곡,경기도 안산시 단원구 동산로 50
679,원시,경기도 안산시 단원구 산단로 70
680,양촌,경기도 김포시 양촌읍 양천역길 107
681,구래,경기도 김포시 김포한강7로 87(구래동)
682,마산,경기도 김포시 김포한강3로 442(마산동)
683,장기,경기도 김포시 김포한강1로 59(장기동)
684,운양,경기도 김포시 김포한강1로 235(운양동)
685,걸포북변,경기도 김포시 김포대로 1040(북변동)
686,사우(김포시청),경기도 김포시 김포대로 852(사우동)
687,풍무,경기도 김포시 김포대로 710(사우동)
688,고촌,경기도 김포시 고촌읍 김포대로 350
